Ticker,Date,Open,Close,DailyReturn,Volume
AKO-A,2010-09-01,0.00924,21.686,234596.9696969697,2954
SMED,2016-07-22,0.0096,5.32,55316.66666666667,30714
BXP,2013-07-02,0.8874,90.437,10091.232814965066,954125
BXP,2007-05-07,0.8874,88.206,9839.824205544288,886684
HLG,2017-08-10,10.18,863.473,8382.05304518664,10
CBMXW,2016-05-31,0.011,0.84,7536.363636363636,14793
SYN,2005-08-03,0.09,3.75,4066.666666666667,31
OHGI,2010-11-24,6.1716,257.14,4066.5046341305333,1
SYN,2006-04-06,0.03,1.14,3700,67
MDVXW,2015-02-09,0.011,0.4,3536.3636363636365,1220
